1 -0.00539281
2 -0.612978
3 0.00806848
4 -0.00408983
5 -0.00931312
6 -0.00456279
7 -0.000477817
8 0.0021815
9 -0.00817917
10 0.00230623
11 0.00028715
12 -0.000666715
13 -0.00121376
14 -0.0017819
15 -0.00236081
16 -0.0269374
17 -0.000449125
18 0.00100102
19 0.00123455
20 0.000416886
21 -0.000917177
22 -0.000401391
23 -0.000188607
24 0.000230494
25 -0.000723363
26 -0.000633716
27 0.00128063
28 -0.000684934
29 -0.000159086
30 -0.00110505
31 -0.00104889
32 -0.00104603
33 0.00216834
34 -0.0209702
35 -0.000379974
36 0.00425417
37 0.000846751
