1 1 3 29.63 0.1 0.010685
2 2 3 3.71 0.15 0.01054
3 3 4 52.57 0.15 0.01054
4 4 5 9.08 0.15 0.01054
5 5 6 67.07 0.15 0.01054
6 6 27 15.79 0.15 0.01054
7 7 8 28.63 0.1 0.010685
8 7 9 36.32 0.15 0.01054
9 9 10 9.07 0.15 0.01054
10 10 11 40.14 0.15 0.01054
11 10 13 150 0.09 0.010831
12 9 14 150 0.1 0.010685
13 6 17 150 0.1 0.010685
14 5 28 149.99 0.09 0.010831
15 4 30 149.99 0.1 0.010685
16 2 25 249.8 0.1 0.010685
17 13 12 37.88 0.1 0.010685
18 14 13 9.07 0.1 0.010685
19 14 15 13.72 0.1 0.010685
20 16 15 9.07 0.1 0.010685
21 26 16 16.55 0.1 0.010685
22 12 19 99.8 0.1 0.010685
23 15 21 99.8 0.1 0.010685
24 16 22 99.8 0.09 0.010831
25 30 23 99.8 0.1 0.010685
26 17 26 15.79 0.1 0.010685
27 19 18 11.59 0.1 0.010685
28 29 20 24.37 0.09 0.010831
29 29 21 58.83 0.1 0.010685
30 22 21 9.07 0.1 0.010685
31 23 22 108.49 0.1 0.010685
32 23 24 28.59 0.09 0.010831
33 23 25 56.28 0.1 0.010685
34 27 7 3.04 0.15 0.01054
35 30 28 9.08 0.1 0.010685
36 19 29 1.85 0.1 0.010685
37 26 27 150 0.09 0.010831
