1 1 3 29.63 0.1 0.005
2 2 3 3.71 0.15 0.005
16 2 25 249.8 0.1 0.005
1 3 1 29.63 0.1 0.005
2 3 2 3.71 0.15 0.005
3 3 4 52.57 0.15 0.005
3 4 3 52.57 0.15 0.005
4 4 5 9.08 0.15 0.005
15 4 30 149.99 0.1 0.005
15 30 4 149.99 0.1 0.005
25 30 23 99.8 0.1 0.005
35 30 28 9.08 0.1 0.005
25 23 30 99.8 0.1 0.005
31 23 22 108.49 0.1 0.005
32 23 24 28.59 0.09 0.005
33 23 25 56.28 0.1 0.005
16 25 2 249.8 0.1 0.005
33 25 23 56.28 0.1 0.005
4 5 4 9.08 0.15 0.005
5 5 6 67.07 0.15 0.005
14 5 28 149.99 0.09 0.005
14 28 5 149.99 0.09 0.005
35 28 30 9.08 0.1 0.005
5 6 5 67.07 0.15 0.005
6 6 27 15.79 0.15 0.005
13 6 17 150 0.1 0.005
13 17 6 150 0.1 0.005
26 17 26 15.79 0.1 0.005
26 26 17 15.79 0.1 0.005
37 26 27 150 0.09 0.005
21 26 16 16.55 0.1 0.005
21 16 26 16.55 0.1 0.005
20 16 15 9.07 0.1 0.005
24 16 22 99.8 0.09 0.005
24 22 16 99.8 0.09 0.005
30 22 21 9.07 0.1 0.005
31 22 23 108.49 0.1 0.005
32 24 23 28.59 0.09 0.005
6 27 6 15.79 0.15 0.005
34 27 7 3.04 0.15 0.005
37 27 26 150 0.09 0.005
34 7 27 3.04 0.15 0.005
7 7 8 28.63 0.1 0.005
8 7 9 36.32 0.15 0.005
7 8 7 28.63 0.1 0.005
8 9 7 36.32 0.15 0.005
9 9 10 9.07 0.15 0.005
12 9 14 150 0.1 0.005
12 14 9 150 0.1 0.005
18 14 13 9.07 0.1 0.005
19 14 15 13.72 0.1 0.005
19 15 14 13.72 0.1 0.005
20 15 16 9.07 0.1 0.005
23 15 21 99.8 0.1 0.005
9 10 9 9.07 0.15 0.005
10 10 11 40.14 0.15 0.005
11 10 13 150 0.09 0.005
10 11 10 40.14 0.15 0.005
11 13 10 150 0.09 0.005
18 13 14 9.07 0.1 0.005
17 13 12 37.88 0.1 0.005
17 12 13 37.88 0.1 0.005
22 12 19 99.8 0.1 0.005
22 19 12 99.8 0.1 0.005
36 19 29 1.85 0.1 0.005
27 19 18 11.59 0.1 0.005
27 18 19 11.59 0.1 0.005
36 29 19 1.85 0.1 0.005
28 29 20 24.37 0.09 0.005
29 29 21 58.83 0.1 0.005
28 20 29 24.37 0.09 0.005
29 21 29 58.83 0.1 0.005
23 21 15 99.8 0.1 0.005
30 21 22 9.07 0.1 0.005
